,ID,captions,map
156,-9CUm-2cui8_39_44,the woman is boiling okra,204
157,-9CUm-2cui8_39_44,a woman boils okra,204
1310,-s4-6QTT7HE_235_241,a man is dancing among a group of women dancers in costumes,159
1311,-s4-6QTT7HE_235_241,people are dancing outside,159
1312,-s4-6QTT7HE_235_241,people are dancing outside,159
1313,-s4-6QTT7HE_235_241,people are dancing,159
1314,-s4-6QTT7HE_235_241,a group of people are dancing,159
1315,-s4-6QTT7HE_235_241,a group of people are dancing,159
1316,-s4-6QTT7HE_235_241,people are dancing,159
1317,-s4-6QTT7HE_235_241,a man is dancing with a group of people who are dressed in indian costumes,159
1318,-s4-6QTT7HE_235_241,a group of people dance on a hill,159
1319,-s4-6QTT7HE_235_241,some people are dancing,159
1320,-s4-6QTT7HE_235_241,people are dancing in a field,159
1321,-s4-6QTT7HE_235_241,people are dancing,159
1322,-s4-6QTT7HE_235_241,several people are dancing in a field,159
1323,-s4-6QTT7HE_235_241,the dance troupe danced outside in their costumes,159
1324,-s4-6QTT7HE_235_241,the people are dancing,159
1325,-s4-6QTT7HE_235_241,many people perform a dance routine,159
1326,-s4-6QTT7HE_235_241,the people dressed in costume outside,159
1327,-s4-6QTT7HE_235_241,a group of people are dancing,159
1328,-s4-6QTT7HE_235_241,a man is doing a folklore dance,159
1329,-s4-6QTT7HE_235_241,a group of people are dancing outside,159
1330,-s4-6QTT7HE_235_241,a group of people are performing a dance routine,159
1331,-s4-6QTT7HE_235_241,a group of persons are dancing,159
1332,-s4-6QTT7HE_235_241,a man and woman dancing,159
1333,-s4-6QTT7HE_235_241,an actor and actress is dancing for a song,159
1334,-s4-6QTT7HE_235_241,jeyam ravi acting,159
1335,-s4-6QTT7HE_235_241,many person are dancing,159
1336,-s4-6QTT7HE_235_241,people are dancing outside,159
1337,-s4-6QTT7HE_235_241,some people are dancing,159
1338,-s4-6QTT7HE_235_241,the people are dancing,159
1339,-s4-6QTT7HE_235_241,the boy is dancing,159
1340,-s4-6QTT7HE_235_241,the dancer are dancing,159
1800,-zOrV-5vh1A_69_76,possibly thousands of various sized colored balls are bouncing down a street,371
1801,-zOrV-5vh1A_69_76,balls are bouncing down a street,371
1802,-zOrV-5vh1A_69_76,balls are bouncing down a road,371
1803,-zOrV-5vh1A_69_76,balloons are flying in the air and running on the road,371
1804,-zOrV-5vh1A_69_76,a wall of bouncing balls descend a street,371
1805,-zOrV-5vh1A_69_76,balls are bouncing down a hill,371
1806,-zOrV-5vh1A_69_76,colored balls are falling in streets,371
1807,-zOrV-5vh1A_69_76,a swarm of colored balls bounce down a street,371
1808,-zOrV-5vh1A_69_76,some colored balls are bouncing down the street,371
1809,-zOrV-5vh1A_69_76,rubber balls are bouncing down a street,371
1810,-zOrV-5vh1A_69_76,balls are bouncing,371
1811,-zOrV-5vh1A_69_76,numerous balls are bouncing down a street,371
1812,-zOrV-5vh1A_69_76,numerous colorful balls released in air are bouncing on a road against a background score,371
1813,-zOrV-5vh1A_69_76,a lot of colorful rubber balls danced down the street,371
1814,-zOrV-5vh1A_69_76,the bouncing balls are moving down the street,371
1815,-zOrV-5vh1A_69_76,many balls bounce around,371
1816,-zOrV-5vh1A_69_76,the colored balles bounced down the street,371
1817,-zOrV-5vh1A_69_76,a bunch of bouncing colored balls go bouncing through city streets at random,371
1818,-zOrV-5vh1A_69_76,balls is flying,371
1819,-zOrV-5vh1A_69_76,dumbassssss do you think they could ve done that without permission no most,371
1820,-zOrV-5vh1A_69_76,in road flowing balls,371
1821,-zOrV-5vh1A_69_76,its a sony tv add,371
1822,-zOrV-5vh1A_69_76,tons of bouncy balls are bouncing down the street,371
1823,-zOrV-5vh1A_69_76,a man is singing a song and there were many balls jumping,371
1824,-zOrV-5vh1A_69_76,balls are bouncing down a street,371
1825,-zOrV-5vh1A_69_76,balls are flying and rolling,371
1826,-zOrV-5vh1A_69_76,its about sony braviaballs,371
1827,-zOrV-5vh1A_69_76,many ball are seen on the road,371
1828,-zOrV-5vh1A_69_76,millions of ball throwing on road,371
1829,-zOrV-5vh1A_69_76,the bouncing balls are moving down the street,371
1830,-zOrV-5vh1A_69_76,a balls are jumping on the road,371
1873,02Z-kuB3IaM_2_13,a black boar is running in the woods,228
1874,02Z-kuB3IaM_2_13,a wild boar is running,228
1875,02Z-kuB3IaM_2_13,a wild boar is running,228
1876,02Z-kuB3IaM_2_13,a pig is running in the wood,228
1877,02Z-kuB3IaM_2_13,a wild boar is running through the woods,228
1878,02Z-kuB3IaM_2_13,a wild pig is running,228
1879,02Z-kuB3IaM_2_13,a wild pig is running,228
1880,02Z-kuB3IaM_2_13,a boar is running,228
1881,02Z-kuB3IaM_2_13,a boar is running through the woods,228
1882,02Z-kuB3IaM_2_13,a pig is running,228
1883,02Z-kuB3IaM_2_13,a boar is running through a field,228
1884,02Z-kuB3IaM_2_13,the wild pig went running through the woods,228
1885,02Z-kuB3IaM_2_13,the boar is running in the woods,228
1886,02Z-kuB3IaM_2_13,a boar runs through the woods,228
1887,02Z-kuB3IaM_2_13,a boar is running through a forest,228
1888,02Z-kuB3IaM_2_13,the wild pig ran through the trees,228
1889,02Z-kuB3IaM_2_13,the pig is ran very fast,228
1890,02Z-kuB3IaM_2_13,a wild black boar attacking,228
1891,02Z-kuB3IaM_2_13,a boar is running in the woods,228
1892,02Z-kuB3IaM_2_13,this video has been blocked,228
1893,02Z-kuB3IaM_2_13,a wild boar charges through the woods,228
1894,02Z-kuB3IaM_2_13,a big wild boar running quicker in the forest,228
1895,02Z-kuB3IaM_2_13,a wild boar is running through the trees,228
1896,02Z-kuB3IaM_2_13,a wild boar is running,228
1897,02Z-kuB3IaM_2_13,a wild boar is running,228
1898,02Z-kuB3IaM_2_13,running like the wind,228
1899,02Z-kuB3IaM_2_13,the wild pig ran through the woods,228
1900,02Z-kuB3IaM_2_13,a pig is running,228
1901,02Z-kuB3IaM_2_13,the boar is running,228
1902,02Z-kuB3IaM_2_13,the pig is running the forest,228
1903,05Gtb7_9tLU_0_9,several animal drawn covered carts are going down the street,314
1904,05Gtb7_9tLU_0_9,people are riding in donkey carriages,314
1905,05Gtb7_9tLU_0_9,people are riding donkey carriages,314
1906,05Gtb7_9tLU_0_9,people are traveling in cawcarts,314
1907,05Gtb7_9tLU_0_9,a group of people are riding in carriages,314
1908,05Gtb7_9tLU_0_9,cattle cabs are moving in a street,314
1909,05Gtb7_9tLU_0_9,some ox carts are being driven,314
1910,05Gtb7_9tLU_0_9,people are riding in wagons,314
1911,05Gtb7_9tLU_0_9,a parade is going on,314
1912,05Gtb7_9tLU_0_9,several carts are being pulled by livestock,314
1913,05Gtb7_9tLU_0_9,a chain of bullockcarts are moving one behind the other along a street,314
1914,05Gtb7_9tLU_0_9,the oxen pulled the carts through the city,314
1915,05Gtb7_9tLU_0_9,the caravans are moving down the street,314
1916,05Gtb7_9tLU_0_9,many carriages roll down a dirt road,314
1917,05Gtb7_9tLU_0_9,the carts were pulled by cattle through the street,314
1918,05Gtb7_9tLU_0_9,a line of carts are riding through a town,314
1919,05Gtb7_9tLU_0_9,a short clip showing a group of bullockcarts,314
1920,05Gtb7_9tLU_0_9,its a movie scene two people talking,314
1921,05Gtb7_9tLU_0_9,a bullock carts are coming on the road,314
1922,05Gtb7_9tLU_0_9,a person riding cows vehicle,314
1923,05Gtb7_9tLU_0_9,bullock carts moving on through the road,314
1924,05Gtb7_9tLU_0_9,super comedy in anniyan film,314
1925,05Gtb7_9tLU_0_9,the caravan is moving down the street,314
1926,05Gtb7_9tLU_0_9,the person is doing the something,314
1927,05Gtb7_9tLU_0_9,three cow carts are moving,314
1928,05Gtb7_9tLU_0_9,the person is doing the something,314
1929,05gNigkqfNU_11_23,a person pealing a potato,339
1930,05gNigkqfNU_11_23,a chef peels a potato,339
1931,05gNigkqfNU_11_23,a person is peeling a potato with a potato peeler,339
1932,05gNigkqfNU_11_23,a person is peeling a potato,339
1933,05gNigkqfNU_11_23,a person is peeling potato,339
1934,05gNigkqfNU_11_23,a person peels a potato,339
1935,05gNigkqfNU_11_23,a potato is being peeled,339
1936,05gNigkqfNU_11_23,a potato is being skinned,339
1937,05gNigkqfNU_11_23,a potato is peeled,339
1938,05gNigkqfNU_11_23,a woman is peeling a potato,339
1939,05gNigkqfNU_11_23,a woman is peeling a potato,339
1940,05gNigkqfNU_11_23,a woman is peeling the skin of a raw potato with a peeler,339
1941,05gNigkqfNU_11_23,an individual peels a potato,339
1942,05gNigkqfNU_11_23,someone is peeling a potato,339
1943,05gNigkqfNU_11_23,someone is peeling a potato,339
1944,05gNigkqfNU_11_23,someone is peeling a potatoe,339
1945,05gNigkqfNU_11_23,someone is shown peeling a potato with a potato peeler,339
1946,05gNigkqfNU_11_23,someone peeled a potatoe,339
1947,05gNigkqfNU_11_23,the cook is peeling a potato,339
1948,05gNigkqfNU_11_23,slicing potatoes,339
1949,05gNigkqfNU_11_23,a man is peeling potatoes,339
1950,05gNigkqfNU_11_23,the man is teaching how to make country potato salad,339
1951,05gNigkqfNU_11_23,a woman peels a potatoe,339
1952,05gNigkqfNU_11_23,some one is cutting cover of potato,339
1953,05gNigkqfNU_11_23,a woman is makeing country potato salad,339
1954,05gNigkqfNU_11_23,the person is peeling a potato,339
1955,05gNigkqfNU_11_23,a guy is cutting the boiled eggs,339
1956,05gNigkqfNU_11_23,someone is peeling a potato,339
1957,05gNigkqfNU_11_23,a person cut potato,339
1958,05gNigkqfNU_11_23,a video showing how to peel potato skin using a slicer,339
1959,05gNigkqfNU_11_23,how to make country potato salad,339
1960,05gNigkqfNU_11_23,how to make country potato salad,339
1961,05gNigkqfNU_11_23,how to make a good country potato sald,339
1962,05gNigkqfNU_11_23,the person is cutting the vegetables,339
1963,05gNigkqfNU_11_23,a man is slicing a potato,339
1964,05gNigkqfNU_11_23,someone is peeling a potato,339
1965,05gNigkqfNU_11_23,a person is peeling a potato,339
1966,05gNigkqfNU_11_23,a man is peeling potato,339
1967,05gNigkqfNU_11_23,a person is peeling a potato,339
1968,05gNigkqfNU_11_23,a person is peeling a potato,339
1969,05gNigkqfNU_11_23,a lady is grating the potatoes,339
1970,05gNigkqfNU_11_23,a woman is peeling a potato with a potato peeler,339
1971,05gNigkqfNU_11_23,a woman is peeling a potato,339
1972,05gNigkqfNU_11_23,someone is peeling a potato,339
1973,05gNigkqfNU_11_23,they are showing how to do potato salad,339
1974,05gNigkqfNU_11_23,someone is peeling a potato,339
1975,05gNigkqfNU_11_23,someone is peeling the skin of a potatoe,339
1976,05gNigkqfNU_11_23,a short clip about how to make a tastier county potato salad,339
1977,05gNigkqfNU_11_23,a man is removing the peel of potato,339
1978,05gNigkqfNU_11_23,a potato is being peeled,339
1979,05gNigkqfNU_11_23,a person is peeling a potato,339
1980,05gNigkqfNU_11_23,making country pototo salad,339
1981,05gNigkqfNU_11_23,a person peels a russet potato,339
1982,05gNigkqfNU_11_23,a potato is being peeled,339
1983,05gNigkqfNU_11_23,a woman is peeling potatoes,339
1984,05gNigkqfNU_11_23,a person peels a potato,339
1985,05gNigkqfNU_11_23,a man is peeling potato,339
1986,05gNigkqfNU_11_23,a potato is being peeled,339
1987,05gNigkqfNU_11_23,someone peels a potato,339
1988,05gNigkqfNU_11_23,a man is pealing the potato,339
1989,05gNigkqfNU_11_23,the person in the show is peeling potato,339
1990,05gNigkqfNU_11_23,a man is pealing a potato,339
1991,05gNigkqfNU_11_23,a woman is slicing potato,339
2113,05gNigkqfNU_78_84,a person is slicing eggs,560
2114,05gNigkqfNU_78_84,a boiled egg is cut four ways,560
2115,05gNigkqfNU_78_84,a boiled egg is peeled and,560
2116,05gNigkqfNU_78_84,a person is chopping a hard boiled egg,560
2117,05gNigkqfNU_78_84,a person is chopping a hardboiled egg,560
2118,05gNigkqfNU_78_84,a person is chopping an egg into quarter slices with a knife,560
2119,05gNigkqfNU_78_84,a person is cutting boiled egg into pieces,560
2120,05gNigkqfNU_78_84,a person slices a hardboiled egg,560
2121,05gNigkqfNU_78_84,a woman is chopping a boiled egg with a large knife,560
2122,05gNigkqfNU_78_84,a woman is chopping a hard egg,560
2123,05gNigkqfNU_78_84,a woman is slicing boiled eggs,560
2124,05gNigkqfNU_78_84,egg is chopped up with a knife,560
2125,05gNigkqfNU_78_84,eggs are being chopped,560
2126,05gNigkqfNU_78_84,someone chopped up a hard boiled egg,560
2127,05gNigkqfNU_78_84,someone cut up a hard boiled egg,560
2128,05gNigkqfNU_78_84,someone is cutting a peeled boiled egg into small pieces,560
2129,05gNigkqfNU_78_84,someone is cutting boiled eggs,560
2130,05gNigkqfNU_78_84,the cook is cutting eggs,560
2131,05gNigkqfNU_78_84,how to make country potato salad,560
2132,05gNigkqfNU_78_84,a man cutting the eggs into equal parts,560
2133,05gNigkqfNU_78_84,a cooker is making the boiled egg into four pieces,560
2134,05gNigkqfNU_78_84,someone is cutting up boiled eggs,560
2135,05gNigkqfNU_78_84,a person is chopping boiled eggs,560
2136,05gNigkqfNU_78_84,she is cutting on the eggs,560
2137,05gNigkqfNU_78_84,a man is cutting with knife,560
2138,05gNigkqfNU_78_84,a women on summerkitchentv showing how to make country potato salad,560
2139,05gNigkqfNU_78_84,someone is cutting a boiled egg,560
2140,05gNigkqfNU_78_84,a man cutting boil egg into pieces,560
2141,05gNigkqfNU_78_84,somebody cutting boiled eggs,560
2142,05gNigkqfNU_78_84,a men making country potato salad,560
2143,05gNigkqfNU_78_84,a person is cutting food,560
2144,05gNigkqfNU_78_84,a woman is cutting up eggs,560
2145,05gNigkqfNU_78_84,someone slices an egg into quarters,560
2146,05gNigkqfNU_78_84,a man is cutting boiled eggs,560
2147,05gNigkqfNU_78_84,egg is sliced into pieces,560
2148,05gNigkqfNU_78_84,somebody is slicing an egg,560
2149,05gNigkqfNU_78_84,a person is chopping hardboiled eggs,560
2150,05gNigkqfNU_78_84,chopping boiled eggs to prepare a salad,560
2151,05gNigkqfNU_78_84,a person is cutting eggs,560
2152,05gNigkqfNU_78_84,a man is cutting the eggs in to pieces,560
2153,05gNigkqfNU_78_84,a person is cutting an egg,560
2154,05gNigkqfNU_78_84,someone slicing an egg,560
2155,05gNigkqfNU_78_84,hardboiled eggs are being chopped,560
2156,05gNigkqfNU_78_84,a man is cutting a boiled egg into pieces,560
2157,05gNigkqfNU_78_84,woman pealing,560
2158,05gNigkqfNU_78_84,someone slices eggs,560
2159,05gNigkqfNU_78_84,a person slicing a boiled egg,560
2160,05gNigkqfNU_78_84,they are showing how to make potato salad,560
2161,05gNigkqfNU_78_84,someone is slicing hard boiled eggs,560
2162,05gNigkqfNU_78_84,someone is slicing eggs,560
2163,05gNigkqfNU_78_84,a man is slicing some egg,560
2164,05gNigkqfNU_78_84,a person is slicing hard boiled eggs,560
2165,05gNigkqfNU_78_84,a chef cutting a boiled egg into small pieces,560
2166,05gNigkqfNU_78_84,a person trying to show a delicious potato salad recipe,560
2167,05gNigkqfNU_78_84,a short clip about how to make country potato salad,560
2168,05gNigkqfNU_78_84,a chef is cutting eggs,560
2169,05gNigkqfNU_78_84,a woman is cooking her kichen,560
2170,05gNigkqfNU_78_84,a person cuts up hardboiled eggs,560
2171,05gNigkqfNU_78_84,a man is cutting boiled egg,560
2172,05gNigkqfNU_78_84,a person chopping hard boiled eggs,560
2173,05gNigkqfNU_78_84,eggs are being chopped with a knife,560
2174,05gNigkqfNU_78_84,someone cuts a hardboiled egg into quarters,560
2175,05gNigkqfNU_78_84,a man is cutting an eggs,560
2209,08pVpBq706k_175_212,a cat get his head stuck in a bag,481
2210,08pVpBq706k_175_212,a cat gets his head stuck in a paper bag,481
2211,08pVpBq706k_175_212,a cat gets its head stuck in a small paper bag,481
2212,08pVpBq706k_175_212,a cat is playing with a paper bag and gets it stuck on its head,481
2213,08pVpBq706k_175_212,a cat is walking with a bag on its head,481
2214,08pVpBq706k_175_212,a cat is wearing a bag on its head,481
2215,08pVpBq706k_175_212,a cat puts a cover on his head,481
2216,08pVpBq706k_175_212,a cat puts its head in a paper bag then manages to remove the paper bag from its head,481
2217,08pVpBq706k_175_212,a cat putting it s head in a bag,481
2218,08pVpBq706k_175_212,a cat sticks its head into a paper bag and walks around,481
2219,08pVpBq706k_175_212,a cat walks across a couch,481
2220,08pVpBq706k_175_212,a cat s head is stuck in a paper bag,481
2221,08pVpBq706k_175_212,a grey cat walking on a sofa pushes his head into a brown cover and finally manages to get it off after struggling for a while,481
2222,08pVpBq706k_175_212,the cat had his head in a paper bag,481
2223,08pVpBq706k_175_212,the cat had his head in a paper bag,481
2224,08pVpBq706k_175_212,the cat has a paper bag on it s head,481
2225,08pVpBq706k_175_212,a strange cat put his face in the paper pocket,481
2226,08pVpBq706k_175_212,a cat s head is stuck inside a paper bag,481
2227,08pVpBq706k_175_212,a cat puts a bag on his head and then takes it back off,481
2228,08pVpBq706k_175_212,cat playing with a bag,481
2229,08pVpBq706k_175_212,a cat is entering its head into a cover,481
2230,08pVpBq706k_175_212,the cat is leaving the head inside the cover,481
2231,08pVpBq706k_175_212,a cat puts his head in a bag,481
2232,08pVpBq706k_175_212,a cat put its head in to the pack,481
2233,08pVpBq706k_175_212,a cat is moving with a packet on the face,481
2234,08pVpBq706k_175_212,a cat is playing on the sofa,481
2235,08pVpBq706k_175_212,a strange cat is covering its face,481
2236,08pVpBq706k_175_212,a cat is sarching into the cover,481
2237,08pVpBq706k_175_212,a cat gets a bag stuck on its head,481
2238,08pVpBq706k_175_212,the cat maru is covering its face with a cover and a few minutes later it had taken that,481
2239,08pVpBq706k_175_212,a cat is covering his mouth with a envelope,481
2240,08pVpBq706k_175_212,a cat sticks its head in a bag,481
2241,08pVpBq706k_175_212,a cat sticks his head into a paper bag,481
2242,08pVpBq706k_175_212,a cat is putting its head into a brown paper cover,481
2243,08pVpBq706k_175_212,a cat trying to remove the face cover,481
2244,08pVpBq706k_175_212,a cat is playing on sofa,481
2245,08pVpBq706k_175_212,a cat has a bag on its head,481
2246,08pVpBq706k_175_212,a cat walking on a sofa and trying to grab something from a packet,481
2247,08pVpBq706k_175_212,a cat doing some kind of strange tricks on sofa,481
2248,08pVpBq706k_175_212,a cat put its head in a paper bag and gets it stuck,481
2249,08pVpBq706k_175_212,the cat is playing with a cover,481
2250,08pVpBq706k_175_212,a cat is playing,481
2251,08pVpBq706k_175_212,cats funny comedy,481
2252,08pVpBq706k_175_212,the strangest cat on the planet,481
2253,08pVpBq706k_175_212,a cat pushes a paper bag over its head and subsequently has trouble removing it,481
2254,08pVpBq706k_175_212,a cat is trying to free herself,481
2255,08pVpBq706k_175_212,a cat is slipping its head into a paper bag,481
2256,08pVpBq706k_175_212,a cat gets a paper bag stuck on its head,481
2257,0GXq1An3yHI_22_35,a woman chops up curd,203
2258,0GXq1An3yHI_22_35,a cook is chopping green chillies,203
2259,0GXq1An3yHI_22_35,a man dices some green peppers,203
2260,0GXq1An3yHI_22_35,a man is chopping scallions,203
2261,0GXq1An3yHI_22_35,a man is finely chopping some green chillies,203
2262,0GXq1An3yHI_22_35,a person is slicing green chilli into small pieces,203
2263,0GXq1An3yHI_22_35,a person is using a knife to chop a vegetable into small pieces,203
2264,0GXq1An3yHI_22_35,green chili s are being sliced,203
2265,0GXq1An3yHI_22_35,green chillies are chopped finely,203
2266,0GXq1An3yHI_22_35,peppers are being chopped,203
2267,0GXq1An3yHI_22_35,someone is chopping celery,203
2268,0GXq1An3yHI_22_35,someone is dicing a pepper,203
2269,0GXq1An3yHI_22_35,the cook is slicing peppers,203
2270,0GXq1An3yHI_22_35,a chef making buttermilk from north indian curd and other ingredients,203
2271,0GXq1An3yHI_22_35,a grinder is in the table,203
2272,0GXq1An3yHI_22_35,a person is cutting a slices of pepper,203
2273,0GXq1An3yHI_22_35,beans is being chopped,203
2274,0GXq1An3yHI_22_35,very very super butter milk curd prepare,203
2275,0GXq1An3yHI_22_35,a chef is chopping up some peppers,203
2276,0GXq1An3yHI_22_35,a cook cuts up some celery,203
2277,0GXq1An3yHI_22_35,a man cooking his kichen,203
2278,0GXq1An3yHI_22_35,a man is chopping a chile pepper,203
2279,0GXq1An3yHI_22_35,a man is chopping green chili peppers,203
2280,0GXq1An3yHI_22_35,a man is chopping green chillies,203
2281,0GXq1An3yHI_22_35,a man is chopping olives,203
2282,0GXq1An3yHI_22_35,a man is chopping some green chillies,203
2283,0GXq1An3yHI_22_35,a man is cutting chillies,203
2284,0GXq1An3yHI_22_35,a man is slicing a chili,203
2285,0GXq1An3yHI_22_35,a person is chopping green chili peppers,203
2286,0GXq1An3yHI_22_35,a person is chopping peppers,203
2287,0GXq1An3yHI_22_35,a person is chopping peppers,203
2288,0GXq1An3yHI_22_35,a person is slicing up a pepper,203
2289,0GXq1An3yHI_22_35,a professional chef always braces his knuckles against the knife,203
2290,0GXq1An3yHI_22_35,a woman is chopping up a green chili,203
2291,0GXq1An3yHI_22_35,indian origin dish preparing instructions,203
2292,0GXq1An3yHI_22_35,somebody is cutting chili,203
2293,0GXq1An3yHI_22_35,someone chopped up green onion,203
2294,0GXq1An3yHI_22_35,someone chopping up a vegetable,203
2295,0GXq1An3yHI_22_35,someone cut up green onions,203
2296,0GXq1An3yHI_22_35,someone is chopping a chillie,203
2297,0GXq1An3yHI_22_35,someone is chopping chives,203
2298,0GXq1An3yHI_22_35,someone is chopping greenchillies,203
2299,0GXq1An3yHI_22_35,someone is chopping peppers,203
2300,0GXq1An3yHI_22_35,someone is cutting a pepper,203
2301,0GXq1An3yHI_22_35,someone is cutting the slices of chilling,203
2302,0GXq1An3yHI_22_35,someone is slicing a vegtable,203
2303,0GXq1An3yHI_22_35,someone is thinly slicing a banana pepper,203
2304,0GXq1An3yHI_22_35,the person is cutting up hot peppers,203
2305,0GXq1An3yHI_22_35,the person is dicing peppers,203
2306,0I4VKj4d0WI_24_40,a man is blowing bubbles,167
2307,0I4VKj4d0WI_24_40,a man is making a bobble chain,167
2308,0I4VKj4d0WI_24_40,a man is making a chain of bubbles,167
